Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
NWA1_G141,76.189865,-120.924842,0.56,Continuous permafrost with medium to low ground ice content (10% to <10%),487128.4547,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G142,76.206278,-120.881042,0.56,Continuous permafrost with medium to low ground ice content (10% to <10%),489230.6831,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G143,76.209183,-120.846619,0.56,Continuous permafrost with medium to low ground ice content (10% to <10%),489822.6168,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G144,76.19199,-120.807229,0.56,Continuous permafrost with medium to low ground ice content (10% to <10%),488327.0375,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G145,76.10933,-119.801286,0.52,Continuous permafrost with medium to low ground ice content (10% to <10%),489082.7732,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G146,76.159821,-119.692944,0.52,Continuous permafrost with medium to low ground ice content (10% to <10%),495401.2887,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G147,76.224894,-119.343842,0.52,Continuous permafrost with medium to low ground ice content (10% to <10%),505750.4141,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G148,76.48306,-118.846438,0.51,Continuous permafrost with medium ground ice content (10% to 20%),537408.2111,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G149,76.565653,-118.336819,0.51,Continuous permafrost with medium ground ice content (10% to 20%),551362.2226,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G150,76.65268,-118.336199,0.51,Continuous permafrost with medium ground ice content (10% to 20%),560144.4433,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G151,76.697865,-118.45345,0.51,Continuous permafrost with medium ground ice content (10% to 20%),563449.823,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G152,76.707036,-118.434776,0.51,Continuous permafrost with medium ground ice content (10% to 20%),564580.3696,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G153,76.721456,-118.456619,0.51,Continuous permafrost with medium ground ice content (10% to 20%),565811.9662,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
