Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
A1_E1,65.337078,-67.392007,6.37,Continuous permafrost with low ground ice content (<10%),118392.7331,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A1_E3,65.059704,-67.113873,6.37,Continuous permafrost with low ground ice content (<10%),137062.8174,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A1_E5,64.696633,-66.18667,6.22,Continuous permafrost with low ground ice content (<10%),154669.8344,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_E6,64.587014,-65.73808,6.16,Continuous permafrost with low ground ice content (<10%),164202.548,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_E7,64.142665,-65.399119,5.99,Continuous permafrost with low ground ice content (<10%),158965.4405,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_A3,65.260742,-67.131305,6.37,Continuous permafrost with low ground ice content (<10%),118061.3552,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A2_C1,67.266573,-72.186436,3.66,Continuous permafrost with high to medium ground ice content (10% to >20%),311696.9278,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A2_C6,65.486164,-73.576915,8.28,Continuous permafrost with high to medium ground ice content (10% to >20%),198150.5076,Kinngait,"Inuktitut, Eastern Canadian",ᑭᙵᐃᑦ,Hamlet,Nunavut
A2_C7,65.522627,-73.982453,8.28,Continuous permafrost with high to medium ground ice content (10% to >20%),188047.822,Kinngait,"Inuktitut, Eastern Canadian",ᑭᙵᐃᑦ,Hamlet,Nunavut
A3_E2,66.731068,-62.325553,2.13,Continuous permafrost with low ground ice content (<10%),117840.3229,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E3,66.672981,-62.827275,1.74,Continuous permafrost with low ground ice content (<10%),111295.9122,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E4,66.643473,-62.868939,1.74,Continuous permafrost with low ground ice content (<10%),113413.2164,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E5,66.727657,-62.867937,1.74,Continuous permafrost with low ground ice content (<10%),105063.2465,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E6,66.714646,-63.406078,1.74,Continuous permafrost with low ground ice content (<10%),97495.98782,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E7,66.814998,-63.785665,1.74,Continuous permafrost with low ground ice content (<10%),83163.0417,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E8,66.809358,-63.593027,1.74,Continuous permafrost with low ground ice content (<10%),85233.91695,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E9,66.997099,-63.810366,1.54,Continuous permafrost with low ground ice content (<10%),62895.09977,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E10,67.011463,-64.68268,1.53,Continuous permafrost with low ground ice content (<10%),66838.40716,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E11,67.062683,-64.703818,1.53,Continuous permafrost with low ground ice content (<10%),62115.10511,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E13,67.363554,-64.796654,1.52,Continuous permafrost with low ground ice content (<10%),39198.59319,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E14,67.446251,-64.22073,1.52,Continuous permafrost with low ground ice content (<10%),14633.50947,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E15,67.472801,-64.454636,1.52,Continuous permafrost with low ground ice content (<10%),20377.60741,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E16,67.688199,-64.795017,1.36,Continuous permafrost with low ground ice content (<10%),35836.20488,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E17,67.623946,-65.183629,1.35,Continuous permafrost with low ground ice content (<10%),49784.40453,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E20,67.994431,-65.139252,1.31,Continuous permafrost with low ground ice content (<10%),67871.51054,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E21,67.702282,-65.441445,1.35,Continuous permafrost with low ground ice content (<10%),62268.74042,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E22,67.632326,-65.38863,1.35,Continuous permafrost with low ground ice content (<10%),58539.93608,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E23,67.593776,-65.35608,1.35,Continuous permafrost with low ground ice content (<10%),56725.2033,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A1,66.581045,-67.493354,6.48,Continuous permafrost with low ground ice content (<10%),93290.03525,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A3_A2,66.598659,-67.330887,6.48,Continuous permafrost with low ground ice content (<10%),88261.52069,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A3_A3,66.656695,-61.910455,2.63,Continuous permafrost with low ground ice content (<10%),135958.5512,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A6,66.919818,-63.504052,1.74,Continuous permafrost with low ground ice content (<10%),74337.9413,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A8,67.35433,-64.964012,1.44,Continuous permafrost with low ground ice content (<10%),45875.03408,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A13,67.664203,-65.173355,1.35,Continuous permafrost with low ground ice content (<10%),50210.48127,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A16,67.745142,-65.56216,1.35,Continuous permafrost with low ground ice content (<10%),68499.45441,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A19,67.226832,-64.408496,1.53,Continuous permafrost with low ground ice content (<10%),40049.41756,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A20,66.70137,-62.823876,1.74,Continuous permafrost with low ground ice content (<10%),108565.2966,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A21,66.657467,-63.444763,1.74,Continuous permafrost with low ground ice content (<10%),103221.7129,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_A22,66.940331,-63.795243,1.54,Continuous permafrost with low ground ice content (<10%),69254.71513,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A4_G1,68.863342,-69.424891,1.22,Continuous permafrost with low ground ice content (<10%),181891.4362,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G2,68.877805,-69.338345,1.22,Continuous permafrost with low ground ice content (<10%),179733.5316,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G3,68.75119,-69.008665,1.22,Continuous permafrost with low ground ice content (<10%),192205.122,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G4,68.986919,-69.033525,1.22,Continuous permafrost with low ground ice content (<10%),166104.3535,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G5,68.901238,-68.520226,1.22,Continuous permafrost with low ground ice content (<10%),174815.9532,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G6,69.018846,-68.337066,1.22,Continuous permafrost with low ground ice content (<10%),161978.7714,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G7,68.996216,-68.184743,1.22,Continuous permafrost with low ground ice content (<10%),164959.5211,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G8,69.116221,-69.069644,1.22,Continuous permafrost with low ground ice content (<10%),151919.3866,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G9,69.109195,-69.02256,1.22,Continuous permafrost with low ground ice content (<10%),152490.6813,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G10,69.123612,-68.925376,1.22,Continuous permafrost with low ground ice content (<10%),150527.9153,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G11,69.238572,-68.627394,1.22,Continuous permafrost with low ground ice content (<10%),137168.5358,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G12,69.234041,-68.955623,1.22,Continuous permafrost with low ground ice content (<10%),138366.4855,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G13,69.217467,-69.004552,1.22,Continuous permafrost with low ground ice content (<10%),140405.5522,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G14,69.223698,-68.876625,1.22,Continuous permafrost with low ground ice content (<10%),139245.2711,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G15,69.226526,-68.901697,1.22,Continuous permafrost with low ground ice content (<10%),139009.3074,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G16,69.209871,-68.882468,1.22,Continuous permafrost with low ground ice content (<10%),140800.8324,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G17,69.254252,-69.273175,1.22,Continuous permafrost with low ground ice content (<10%),137901.9493,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G18,69.291035,-69.243666,1.22,Continuous permafrost with low ground ice content (<10%),133654.7995,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G19,69.322506,-69.174228,1.22,Continuous permafrost with low ground ice content (<10%),129720.6728,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G22,69.477449,-67.544571,1.24,Continuous permafrost with low ground ice content (<10%),117575.8855,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G23,69.467303,-67.992411,1.26,Continuous permafrost with low ground ice content (<10%),113995.0449,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G24,69.493436,-68.132193,1.26,Continuous permafrost with low ground ice content (<10%),110156.9319,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G25,69.575793,-68.521942,1.26,Continuous permafrost with low ground ice content (<10%),99582.58952,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G26,69.528945,-70.048273,1.59,Continuous permafrost with low ground ice content (<10%),118564.6837,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G27,69.778042,-69.496798,1.59,Continuous permafrost with low ground ice content (<10%),84256.67104,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G28,69.846564,-69.689715,1.59,Continuous permafrost with low ground ice content (<10%),80809.82113,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G29,69.839003,-69.778174,1.59,Continuous permafrost with low ground ice content (<10%),83295.29358,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G30,69.734089,-69.814422,1.59,Continuous permafrost with low ground ice content (<10%),94094.22205,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G31,69.752302,-69.894888,1.59,Continuous permafrost with low ground ice content (<10%),93892.26508,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G32,69.986506,-69.11452,1.59,Continuous permafrost with low ground ice content (<10%),57203.29798,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G33,70.175988,-69.442427,1.56,Continuous permafrost with low ground ice content (<10%),45587.2991,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G34,70.162589,-69.850082,1.56,Continuous permafrost with low ground ice content (<10%),58235.16088,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G35,70.185936,-69.718818,1.56,Continuous permafrost with low ground ice content (<10%),52694.67816,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G36,70.20771,-69.638395,1.56,Continuous permafrost with low ground ice content (<10%),48803.01395,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G37,70.024929,-70.188022,1.56,Continuous permafrost with low ground ice content (<10%),77843.59397,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G38,70.002629,-69.711143,1.56,Continuous permafrost with low ground ice content (<10%),66885.59037,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G39,69.962559,-69.912268,1.56,Continuous permafrost with low ground ice content (<10%),75236.38568,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G41,69.8536,-70.451067,1.56,Continuous permafrost with low ground ice content (<10%),98220.2353,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G42,70.592776,-70.489007,1.74,Continuous permafrost with low ground ice content (<10%),71861.46029,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G43,70.450187,-70.045487,1.74,Continuous permafrost with low ground ice content (<10%),54224.83065,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G44,70.43684,-70.163808,1.74,Continuous permafrost with low ground ice content (<10%),58729.14478,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G45,70.327828,-70.59258,1.74,Continuous permafrost with low ground ice content (<10%),76459.16975,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G46,70.456006,-70.613735,1.77,Continuous permafrost with low ground ice content (<10%),75408.52904,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G47,70.476129,-70.496535,1.77,Continuous permafrost with low ground ice content (<10%),70991.4334,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G48,70.522119,-70.990543,1.77,Continuous permafrost with low ground ice content (<10%),89522.07243,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G49,70.321837,-71.321788,1.77,Continuous permafrost with low ground ice content (<10%),103459.4707,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G50,70.068805,-71.46576,1.56,Continuous permafrost with low ground ice content (<10%),117027.4854,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G51,70.032287,-71.55043,1.56,Continuous permafrost with low ground ice content (<10%),121645.1006,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G52,70.023913,-71.531739,1.56,Continuous permafrost with low ground ice content (<10%),121397.9787,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_G54,70.027495,-67.354057,1.28,Continuous permafrost with low ground ice content (<10%),67868.95572,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H1,68.750353,-69.000814,1.22,Continuous permafrost with low ground ice content (<10%),192272.8753,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H2,68.813046,-69.404438,1.22,Continuous permafrost with low ground ice content (<10%),187287.2643,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H5,68.872626,-69.066171,1.22,Continuous permafrost with low ground ice content (<10%),178920.6039,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H6,68.865023,-69.066534,1.22,Continuous permafrost with low ground ice content (<10%),179766.0319,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H8,68.9983,-68.011467,1.22,Continuous permafrost with low ground ice content (<10%),165506.1273,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H10,68.979199,-68.970958,1.22,Continuous permafrost with low ground ice content (<10%),166732.6961,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H11,69.032805,-68.923806,1.22,Continuous permafrost with low ground ice content (<10%),160620.6144,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H12,69.08532,-68.881607,1.22,Continuous permafrost with low ground ice content (<10%),154655.314,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H13,69.122814,-68.92537,1.22,Continuous permafrost with low ground ice content (<10%),150616.6131,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H14,69.060071,-69.188836,<Null>,Continuous permafrost with low ground ice content (<10%),158741.0556,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H17,69.225863,-68.900533,1.22,Continuous permafrost with low ground ice content (<10%),139079.2202,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H19,69.232954,-68.697747,1.22,Continuous permafrost with low ground ice content (<10%),137846.6018,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H24,69.18258,-67.223314,1.22,Continuous permafrost with low ground ice content (<10%),152809.443,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H26,69.468648,-67.857337,1.24,Continuous permafrost with low ground ice content (<10%),115003.3043,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H29,69.655193,-68.701028,1.26,Continuous permafrost with low ground ice content (<10%),90777.26286,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H30,69.983454,-67.268833,1.28,Continuous permafrost with low ground ice content (<10%),73688.03086,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H31,69.939207,-68.693083,1.59,Continuous permafrost with low ground ice content (<10%),59119.85969,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H37,70.128306,-69.675608,1.56,Continuous permafrost with low ground ice content (<10%),55612.90696,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H39,70.184112,-69.007709,1.59,Continuous permafrost with low ground ice content (<10%),35283.27276,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H40,70.469761,-68.576155,1.52,Continuous permafrost with low ground ice content (<10%),708.467786,Clyde River,Undetermined, ,Hamlet,Nunavut
A4_H42,70.514539,-68.298699,1.52,Continuous permafrost with low ground ice content (<10%),12185.36742,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I1,72.306132,-75.023423,2.05,Continuous permafrost with low ground ice content (<10%),107958.228,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I2,72.271982,-74.957548,2.05,Continuous permafrost with low ground ice content (<10%),111643.8383,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I3,72.166153,-75.117927,2.05,Continuous permafrost with low ground ice content (<10%),112811.5099,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I4,72.120768,-75.830213,2.05,Continuous permafrost with low ground ice content (<10%),96676.26123,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I5,71.967165,-76.1921,2.05,Continuous permafrost with low ground ice content (<10%),101386.6986,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I6,71.75305,-76.508741,<Null>,Continuous permafrost with low ground ice content (<10%),116683.2121,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I8,71.849371,-76.386568,2.05,Continuous permafrost with low ground ice content (<10%),108966.1002,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I9,71.856278,-76.357779,2.05,Continuous permafrost with low ground ice content (<10%),108777.0828,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I10,71.899526,-76.275086,2.05,Continuous permafrost with low ground ice content (<10%),106082.3915,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I11,72.111538,-75.409844,2.05,Continuous permafrost with low ground ice content (<10%),108277.8468,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I12,71.912603,-74.207379,1.95,Continuous permafrost with low ground ice content (<10%),154710.1469,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I13,71.806192,-75.736213,1.95,Continuous permafrost with low ground ice content (<10%),125212.673,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I14,71.729373,-75.844067,1.95,Continuous permafrost with low ground ice content (<10%),130156.6522,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I15,71.702927,-76.068143,1.95,Continuous permafrost with low ground ice content (<10%),128647.7919,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I16,72.002933,-75.336387,2.05,Continuous permafrost with low ground ice content (<10%),118074.452,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I17,72.168816,-74.902874,1.99,Continuous permafrost with low ground ice content (<10%),118870.0917,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I18,72.099859,-74.73703,1.99,Continuous permafrost with low ground ice content (<10%),127781.3133,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I19,72.089962,-74.588278,1.99,Continuous permafrost with low ground ice content (<10%),132672.0317,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I21,72.08202,-74.364778,1.95,Continuous permafrost with low ground ice content (<10%),139658.9938,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_I23,71.330915,-72.943639,1.94,Continuous permafrost with low ground ice content (<10%),185727.4558,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I25,70.833664,-72.496344,1.78,Continuous permafrost with low ground ice content (<10%),149966.2987,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I26,70.635017,-72.630758,1.77,Continuous permafrost with low ground ice content (<10%),151175.2184,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I27,70.854438,-71.197558,1.77,Continuous permafrost with low ground ice content (<10%),105449.279,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I28,70.308688,-71.749792,1.77,Continuous permafrost with low ground ice content (<10%),119562.1011,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_I29,71.250331,-73.676856,1.94,Continuous permafrost with low ground ice content (<10%),205437.8004,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J2,71.823088,-74.545133,1.95,Continuous permafrost with low ground ice content (<10%),151883.7956,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J3,71.697584,-75.326659,1.95,Continuous permafrost with low ground ice content (<10%),143500.0644,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J4,71.661261,-75.416059,1.95,Continuous permafrost with low ground ice content (<10%),144882.414,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J5,71.511577,-75.387294,1.95,Continuous permafrost with low ground ice content (<10%),159293.7024,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J6,71.630431,-74.237361,1.95,Continuous permafrost with low ground ice content (<10%),174477.7142,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J7,71.209062,-75.103819,1.95,Continuous permafrost with low ground ice content (<10%),193462.5598,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J8,71.184123,-75.05143,1.95,Continuous permafrost with low ground ice content (<10%),196812.2509,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J9,71.621848,-73.86941,1.94,Continuous permafrost with low ground ice content (<10%),184495.7827,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J10,71.538226,-74.048783,1.94,Continuous permafrost with low ground ice content (<10%),186473.729,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J11,71.460753,-74.139154,1.94,Continuous permafrost with low ground ice content (<10%),190625.1699,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J12,71.429277,-74.264449,1.94,Continuous permafrost with low ground ice content (<10%),190363.2894,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J13,71.401708,-74.326023,1.94,Continuous permafrost with low ground ice content (<10%),191336.4521,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J14,71.310331,-74.153055,1.94,Continuous permafrost with low ground ice content (<10%),203151.7491,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J15,71.668586,-73.787399,1.94,Continuous permafrost with low ground ice content (<10%),183174.1511,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J16,71.51854,-73.606345,1.94,Continuous permafrost with low ground ice content (<10%),199150.8437,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A5_J19,71.230325,-73.030081,1.94,Continuous permafrost with low ground ice content (<10%),183324.6709,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J20,71.116639,-73.217432,1.94,Continuous permafrost with low ground ice content (<10%),184532.1265,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J21,70.986898,-73.367877,1.94,Continuous permafrost with low ground ice content (<10%),185133.998,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J22,70.970411,-73.369585,1.94,Continuous permafrost with low ground ice content (<10%),184696.8706,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J23,70.968029,-72.255769,1.78,Continuous permafrost with low ground ice content (<10%),146033.7987,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J24,70.952581,-72.059312,1.78,Continuous permafrost with low ground ice content (<10%),138735.6176,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J25,70.817111,-72.795762,1.78,Continuous permafrost with low ground ice content (<10%),160250.5238,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J26,70.612158,-72.556778,1.77,Continuous permafrost with low ground ice content (<10%),148232.3947,Clyde River,Undetermined, ,Hamlet,Nunavut
A5_J27,70.240976,-77.785549,4.16,Continuous permafrost with low ground ice content (<10%),181824.5938,Igloolik,"Inuktitut, Eastern Canadian", ,Hamlet,Nunavut
A5_J28,70.398064,-71.970118,1.77,Continuous permafrost with low ground ice content (<10%),126451.6642,Clyde River,Undetermined, ,Hamlet,Nunavut
A6_K1,71.309679,-89.650758,1.76,Continuous permafrost with medium to low ground ice content (10% to <10%),245087.0416,Taloyoak,"Inuktitut, Eastern Canadian", ,Hamlet,Nunavut
A6_K2,72.04441,-89.985622,2,Continuous permafrost with medium to low ground ice content (10% to <10%),195480.7748,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K3,72.167603,-89.566538,2.02,Continuous permafrost with medium to low ground ice content (10% to <10%),175767.0511,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K4,72.423922,-89.911303,2.04,Continuous permafrost with medium ground ice content (10% to 20%),171306.1702,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K5,73.020955,-89.179579,2.1,Continuous permafrost with medium ground ice content (10% to 20%),130787.9557,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K6,73.215039,-88.878732,2.1,Continuous permafrost with medium ground ice content (10% to 20%),122003.2566,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K7,73.303717,-88.866442,2.1,Continuous permafrost with medium ground ice content (10% to 20%),123347.887,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K8,73.280995,-88.601058,2.08,Continuous permafrost with medium ground ice content (10% to 20%),114483.3358,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K9,73.814602,-86.992806,2.16,Continuous permafrost with medium ground ice content (10% to 20%),104805.2565,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K10,73.849357,-86.478483,2.24,Continuous permafrost with medium ground ice content (10% to 20%),100175.8934,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K11,72.847545,-86.685202,2.84,Continuous permafrost with medium ground ice content (10% to 20%),53889.71828,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K12,72.180694,-86.425302,3.07,Continuous permafrost with medium ground ice content (10% to 20%),104006.0633,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K13,72.709702,-86.715393,2.86,Continuous permafrost with medium ground ice content (10% to 20%),62434.24714,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K14,72.587527,-86.547034,2.86,Continuous permafrost with medium ground ice content (10% to 20%),67451.10742,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K15,72.29,-86.408469,3.07,Continuous permafrost with medium ground ice content (10% to 20%),92670.50494,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K16,71.424712,-84.674645,3.72,Continuous permafrost with low ground ice content (<10%),180285.3062,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K17,71.652091,-84.605964,3.72,Continuous permafrost with medium ground ice content (10% to 20%),155297.9983,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K18,72.983486,-83.61432,2.56,Continuous permafrost with medium ground ice content (10% to 20%),50958.46806,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K19,73.230225,-84.31032,2.58,Continuous permafrost with medium ground ice content (10% to 20%),35392.41684,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K20,73.29944,-83.598488,2.53,Continuous permafrost with medium ground ice content (10% to 20%),58762.94132,Arctic Bay,Undetermined, ,Hamlet,Nunavut
A6_K21,72.970349,-80.633312,2.44,Continuous permafrost with medium ground ice content (10% to 20%),93073.76034,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A6_K22,71.944345,-81.564905,2.45,Continuous permafrost with medium ground ice content (10% to 20%),148428.0106,Pond Inlet,Undetermined, ,Hamlet,Nunavut
A6_K23,71.752882,-77.732341,2.41,Continuous permafrost with low ground ice content (<10%),105976.1299,Pond Inlet,Undetermined, ,Hamlet,Nunavut
